audio_stem;sari_total;sari_add;sari_keep;sari_del;bleu;bleu_precision_1;bleu_precision_2;bleu_precision_3;bleu_precision_4;bleu_brevity_penalty;bleu_length_ratio;bleu_translation_length;bleu_reference_length;rouge_1_f1;rouge_1_precision;rouge_1_recall;rouge_2_f1;rouge_2_precision;rouge_2_recall;rouge_l_f1;rouge_l_precision;rouge_l_recall;bertscore_precision;bertscore_recall;bertscore_f1;model_size;error
T0108G0320S0403;0,3045;0,0;0,9136;0,0;0,8633;0,8889;0,875;0,8571;0,8333;1,0;1,0;9;9;0,875;0,875;0,875;0,8571;0,8571;0,8571;0,875;0,875;0,875;0,9822;0,969;0,9755;base;
T0108G0320S0404;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;7;7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T0108G0320S0406;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T0108G0320S0418;0,1937;0,0;0,581;0,0;0,7788;1,0;1,0;1,0;1,0;0,7788;0,8;4;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9595;0,9379;0,9486;base;
T0108G0320S0419;0,1937;0,0;0,581;0,0;0,7788;1,0;1,0;1,0;1,0;0,7788;0,8;4;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9847;0,9595;0,9719;base;
T0108G0320S0421;0,0972;0,0;0,2917;0,0;0,0;0,75;0,6667;0,5;0,0;0,7788;0,8;4;5;0,75;0,75;0,75;0,6667;0,6667;0,6667;0,75;0,75;0,75;0,975;0,9406;0,9575;base;
T0108G0320S0424;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;8;8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T0108G0320S0426;0,27;0,0;0,8101;0,0;0,7421;0,875;0,8571;0,8333;0,8;0,8825;0,8889;8;9;0,875;0,875;0,875;0,8571;0,8571;0,8571;0,875;0,875;0,875;0,9431;0,9536;0,9483;base;
T9108G0125Q0015;0,2616;0,0;0,7849;0,0;0,5946;0,875;0,7143;0,5;0,4;1,0;1,0;8;8;0,8571;0,8571;0,8571;0,6667;0,6667;0,6667;0,8571;0,8571;0,8571;0,9962;0,9962;0,9962;base;
T9108G0125Q0019;0,2879;0,0;0,8638;0,0;0,6435;0,8571;0,6667;0,6;0,5;1,0;1,0;7;7;0,8333;0,8333;0,8333;0,8;0,8;0,8;0,8333;0,8333;0,8333;0,9774;0,9879;0,9826;base;
T9108G0125Q0027;0,2677;0,0;0,8032;0,0;0,2832;0,7143;0,5;0,4;0,25;0,6514;0,7;7;10;0,7273;0,6667;0,8;0,6667;0,6;0,75;0,7273;0,6667;0,8;0,915;0,8782;0,8962;base;
T9108G0125Q0034;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T9108G0125Q0036;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;7;7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T9108G0125Q0037;0,2677;0,0;0,8032;0,0;0,4117;1,0;0,8333;0,8;0,75;0,4895;0,5833;7;12;0,7273;0,6667;0,8;0,6667;0,6;0,75;0,7273;0,6667;0,8;0,9331;0,8572;0,8935;base;
T9108G0125Q0048;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;7;7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;base;
T9108G0128Q0007;0,1222;0,0;0,3667;0,0;0,0;0,75;0,6667;0,5;0,0;1,0;1,0;4;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9638;0,9411;0,9523;base;
T9108G0128Q0009;0,1222;0,0;0,3667;0,0;0,0;0,75;0,6667;0,5;0,0;1,0;1,0;4;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9638;0,9411;0,9523;base;
T9108G0128Q0011;0,0417;0,0;0,125;0,0;0,0;0,5;0,3333;0,0;0,0;1,0;1,0;4;4;0,3333;0,3333;0,3333;0,0;0,0;0,0;0,3333;0,3333;0,3333;0,8755;0,9137;0,8942;base;
T9108G0128Q0026;0,0972;0,0;0,2917;0,0;0,0;0,6;0,5;0,3333;0,0;1,0;1,0;5;5;0,5;0,5;0,5;0,3333;0,3333;0,3333;0,5;0,5;0,5;0,9014;0,8722;0,8865;base;
T9108G0128Q0030;0,0972;0,0;0,2917;0,0;0,0;0,6;0,5;0,3333;0,0;1,0;1,0;5;5;0,5;0,5;0,5;0,3333;0,3333;0,3333;0,5;0,5;0,5;0,9014;0,8722;0,8865;base;
