audio_stem;sari_total;sari_add;sari_keep;sari_del;bleu;bleu_precision_1;bleu_precision_2;bleu_precision_3;bleu_precision_4;bleu_brevity_penalty;bleu_length_ratio;bleu_translation_length;bleu_reference_length;rouge_1_f1;rouge_1_precision;rouge_1_recall;rouge_2_f1;rouge_2_precision;rouge_2_recall;rouge_l_f1;rouge_l_precision;rouge_l_recall;bertscore_precision;bertscore_recall;bertscore_f1;model_size;error
T0108G0320S0403;0,27;0,0;0,8101;0,0;0,6105;0,7778;0,625;0,5714;0,5;1,0;1,0;9;9;0,75;0,75;0,75;0,7143;0,7143;0,7143;0,75;0,75;0,75;0,955;0,944;0,9495;tiny;
T0108G0320S0404;0,2264;0,0;0,6792;0,0;0,4111;0,5714;0,5;0,4;0,25;1,0;1,0;7;7;0,6667;0,6667;0,6667;0,6;0,6;0,6;0,6667;0,6667;0,6667;0,8882;0,9145;0,9012;tiny;
T0108G0320S0406;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;tiny;
T0108G0320S0418;0,0972;0,0;0,2917;0,0;0,0;0,6;0,5;0,3333;0,0;1,0;1,0;5;5;0,5;0,5;0,5;0,3333;0,3333;0,3333;0,5;0,5;0,5;0,9191;0,9336;0,9263;tiny;
T0108G0320S0419;0,1937;0,0;0,581;0,0;0,6687;0,8;0,75;0,6667;0,5;1,0;1,0;5;5;0,75;0,75;0,75;0,6667;0,6667;0,6667;0,75;0,75;0,75;0,9777;0,979;0,9783;tiny;
T0108G0320S0421;0,1937;0,0;0,581;0,0;0,6687;0,8;0,75;0,6667;0,5;1,0;1,0;5;5;0,75;0,75;0,75;0,6667;0,6667;0,6667;0,75;0,75;0,75;0,9821;0,9734;0,9777;tiny;
T0108G0320S0424;0,2542;0,0;0,7625;0,0;0,6804;0,75;0,7143;0,6667;0,6;1,0;1,0;8;8;0,7143;0,7143;0,7143;0,6667;0,6667;0,6667;0,7143;0,7143;0,7143;0,9448;0,9244;0,9344;tiny;
T0108G0320S0426;0,27;0,0;0,8101;0,0;0,5373;0,7;0,5556;0,5;0,4286;1,0;1,1111;10;9;0,7059;0,6667;0,75;0,6667;0,625;0,7143;0,7059;0,6667;0,75;0,9615;0,9549;0,9582;tiny;
T9108G0125Q0015;0,2982;0,0;0,8945;0,0;0,8409;0,875;0,8571;0,8333;0,8;1,0;1,0;8;8;0,8571;0,8571;0,8571;0,8333;0,8333;0,8333;0,8571;0,8571;0,8571;0,9867;0,9862;0,9865;tiny;
T9108G0125Q0019;0,0694;0,0;0,2083;0,0;0,0;0,375;0,2857;0,1667;0,0;1,0;1,1429;8;7;0,3077;0,2857;0,3333;0,1818;0,1667;0,2;0,3077;0,2857;0,3333;0,9589;0,9715;0,9652;tiny;
T9108G0125Q0027;0,1597;0,0;0,4792;0,0;0,0;0,5714;0,3333;0,2;0,0;0,6514;0,7;7;10;0,5455;0,5;0,6;0,4444;0,4;0,5;0,5455;0,5;0,6;0,9121;0,8766;0,894;tiny;
T9108G0125Q0034;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;tiny;
T9108G0125Q0036;0,2879;0,0;0,8638;0,0;0,8091;0,8571;0,8333;0,8;0,75;1,0;1,0;7;7;0,8333;0,8333;0,8333;0,8;0,8;0,8;0,8333;0,8333;0,8333;0,9905;0,9905;0,9905;tiny;
T9108G0125Q0037;0,2677;0,0;0,8032;0,0;0,3961;0,8571;0,8333;0,8;0,75;0,4895;0,5833;7;12;0,7273;0,6667;0,8;0,6667;0,6;0,75;0,7273;0,6667;0,8;0,9254;0,8523;0,8873;tiny;
T9108G0125Q0048;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;7;7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;tiny;
T9108G0128Q0007;0,0417;0,0;0,125;0,0;0,0;0,6667;0,5;0,0;0,0;0,7165;0,75;3;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9181;0,9015;0,9098;tiny;
T9108G0128Q0009;0,1222;0,0;0,3667;0,0;0,0;0,75;0,6667;0,5;0,0;1,0;1,0;4;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9632;0,9503;0,9567;tiny;
T9108G0128Q0011;0,0417;0,0;0,125;0,0;0,0;0,5;0,3333;0,0;0,0;1,0;1,0;4;4;0,3333;0,3333;0,3333;0,0;0,0;0,0;0,3333;0,3333;0,3333;0,8842;0,9248;0,9041;tiny;
T9108G0128Q0026;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5134;0,6;3;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8453;0,8354;0,8403;tiny;
T9108G0128Q0030;0,0333;0,0;0,1;0,0;0,0;0,5;0,0;0,0;0,0;0,7788;0,8;4;5;0,25;0,25;0,25;0,0;0,0;0,0;0,25;0,25;0,25;0,8893;0,8523;0,8704;tiny;
T9108G0128Q0046;0,0556;0,0;0,1667;0,0;0,0;0,6667;0,5;0,0;0,0;1,0;1,0;3;3;0,5;0,5;0,5;0,0;0,0;0,0;0,5;0,5;0,5;0,9216;0,8813;0,901;tiny;
T9108G0171Q0002;0,0333;0,0;0,1;0,0;0,0;0,4;0,25;0,0;0,0;1,0;1,0;5;5;0,25;0,25;0,25;0,0;0,0;0,0;0,25;0,25;0,25;0,8629;0,8824;0,8725;tiny;
T9108G0171Q0007;0,0417;0,0;0,125;0,0;0,0;0,6667;0,5;0,0;0,0;0,7165;0,75;3;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9215;0,8757;0,898;tiny;
T9108G0171Q0020;0,1222;0,0;0,3667;0,0;0,0;0,75;0,6667;0,5;0,0;1,0;1,0;4;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9478;0,9575;0,9526;tiny;
T9108G0171Q0023;0,1222;0,0;0,3667;0,0;0,0;0,75;0,6667;0,5;0,0;1,0;1,0;4;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9887;0,9887;0,9887;tiny;
T9108G0171Q0031;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,6065;0,6667;2;3;0,5;0,5;0,5;0,0;0,0;0,0;0,5;0,5;0,5;0,9526;0,8734;0,9113;tiny;
T9108G0171Q0039;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;tiny;
T9108G0171Q0044;0,0972;0,0;0,2917;0,0;0,0;0,75;0,6667;0,5;0,0;0,7788;0,8;4;5;0,75;0,75;0,75;0,6667;0,6667;0,6667;0,75;0,75;0,75;0,9613;0,95;0,9556;tiny;
T9108G0171Q0049;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3679;0,5;1;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8577;0,9019;0,8792;tiny;
T9108G0171Q0050;0,1222;0,0;0,3667;0,0;0,0;0,75;0,6667;0,5;0,0;1,0;1,0;4;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,9893;0,9893;0,9893;tiny;
